Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,latitude,longitude
2923547,"May 28, 2024",Connecticut,Waterbury,50 Mitchell Ave,0,4,0,0,0,N/A,41.5585724,-73.0464561
2922097,"May 27, 2024",Michigan,Lansing,325 Riverfront Dr,1,6,0,0,0,N/A,42.7358404,-84.547939
2938698,"May 27, 2024",Mississippi,Jackson,Northside Dr,0,4,0,0,2,N/A,32.3563491,-88.8139469
2923055,"May 27, 2024",California,Sacramento,2701 Meadowview Rd,0,4,0,1,3,N/A,38.4817284,-121.4766549
2923261,"May 27, 2024",Virginia,Richmond,1900 block of Raven Ct,2,2,0,0,0,N/A,37.5498349,-77.4360481
2921217,"May 26, 2024",Illinois,Chicago,1300 block of S Christiana Ave,1,3,0,0,0,N/A,41.864373,-87.709613
2921717,"May 26, 2024",Ohio,Cleveland,1437 St Clair Ave,2,2,0,0,3,N/A,41.5065485,-81.6858237
2921394,"May 26, 2024",Missouri,Kansas City,Westport Road and Broadway,0,5,1,0,0,N/A,39.053292,-94.5864122
2921251,"May 25, 2024",California,San Fernando,925 Orange Grove Ave,0,5,0,0,1,N/A,34.2986543,-118.4340159
2921097,"May 25, 2024",Minnesota,Saint Paul (North Saint Paul),2039 17th Ave E,0,4,0,0,0,N/A,45.0211245,-93.0141871
2920512,"May 25, 2024",Florida,Fort Pierce,1800 block of Ave G,0,5,0,0,0,N/A,27.4569292,-80.3429281
2920544,"May 24, 2024",Illinois,Pembroke Township,13100 E Central St,2,3,0,0,0,N/A,41.0664239,-87.618124
2919460,"May 23, 2024",New Jersey,Newark,121 Shephard Ave,0,4,0,0,0,N/A,40.7103938,-74.20703
2917331,"May 22, 2024",Pennsylvania,Chester,2626 W 4th St,2,3,0,0,1,N/A,39.833613,-75.3904897
2916464,"May 21, 2024",Illinois,Chicago,1100 block of S Whipple St,0,4,0,0,0,N/A,41.868139,-87.7021365
2916825,"May 21, 2024",Pennsylvania,Harrisburg,Chestnut St and S 15th St,1,3,1,0,1,N/A,40.2731911,-75.1419764
2918843,"May 20, 2024",Michigan,Detroit,17000 block of Ohio St,1,4,0,0,1,N/A,42.4171079,-83.1556531
2914190,"May 18, 2024",Missouri,Bridgeton,MO-141 and Corporate Woods Dr,1,4,0,0,2,N/A,38.7878222,-90.4941733
2914713,"May 18, 2024",North Carolina,Reidsville,8110 Cherry Grove Rd,2,2,1,0,0,N/A,36.2966667,-79.4788256
2913794,"May 18, 2024",Illinois,Chicago,700 block of S Albany Ave,0,6,0,0,0,N/A,41.872796,-87.703438
2913782,"May 18, 2024",Georgia,Savannah,W Congress Ln and Barnard St,0,10,0,1,6,N/A,32.0798906,-81.0922647
2913404,"May 18, 2024",Florida,Sarasota,3474 17th St,1,4,0,1,1,N/A,27.3521,-82.4994459
2914188,"May 18, 2024",Missouri,Saint Louis,3000 block of Olive St,1,3,0,0,0,N/A,38.6345349,-90.2213037
2913052,"May 18, 2024",Ohio,Columbus,132 E 5th Ave,3,3,0,0,0,N/A,39.9871259,-83.001826
2908173,"May 12, 2024",Missouri,Saint Louis,10000 block of Toelle Ln,1,3,0,0,0,N/A,38.7492323,-90.2181373
2907387,"May 12, 2024",Florida,Tallahassee,1147 Apalachee Pkwy,2,2,0,0,0,N/A,30.4363909,-84.2646288
2916101,"May 12, 2024",Alabama,Montgomery,2400 block of Eastern Blvd,0,6,0,0,0,N/A,32.349423,-86.221316
2907162,"May 12, 2024",Georgia,Atlanta,2110 Peachtree Rd NW,2,4,0,0,1,N/A,33.8120261,-84.3926539
2907598,"May 12, 2024",Massachusetts,Northborough,333 Howard St,1,4,0,0,3,N/A,42.3422927,-71.656325
